Model,Weights,MAP,TF-IDF Weight,BM25 Weight,Embedding Weight
pretrained,"(0.6, 0.1, 0.3)",0.05240828758922308,0.6,0.1,0.3
pretrained,"(0.7, 0.1, 0.2)",0.05253439989776238,0.7,0.1,0.2
pretrained,"(0.8, 0.1, 0.1)",0.05217730272958026,0.8,0.1,0.1
pretrained,"(0.9, 0.1, 0.0)",0.052157772214985486,0.9,0.1,0.0
pretrained,"(0.0, 0.2, 0.8)",0.035753536476316995,0.0,0.2,0.8
pretrained,"(0.1, 0.2, 0.7)",0.04280452191206623,0.1,0.2,0.7
pretrained,"(0.2, 0.2, 0.6)",0.04645362842936972,0.2,0.2,0.6
pretrained,"(0.3, 0.2, 0.5)",0.04993015802943292,0.3,0.2,0.5
pretrained,"(0.4, 0.2, 0.4)",0.0522877872342114,0.4,0.2,0.4
pretrained,"(0.5, 0.2, 0.3)",0.052439005243169794,0.5,0.2,0.3
pretrained,"(0.6, 0.2, 0.2)",0.05226174851135952,0.6,0.2,0.2
pretrained,"(0.7, 0.2, 0.1)",0.052170168612560186,0.7,0.2,0.1
pretrained,"(0.8, 0.2, 0.0)",0.05218205361899426,0.8,0.2,0.0
pretrained,"(0.0, 0.3, 0.7)",0.04064936202947387,0.0,0.3,0.7
pretrained,"(0.1, 0.3, 0.6)",0.04669087095604629,0.1,0.3,0.6
pretrained,"(0.2, 0.3, 0.5)",0.050652031932013585,0.2,0.3,0.5
pretrained,"(0.3, 0.3, 0.4)",0.05212665961309989,0.3,0.3,0.4
pretrained,"(0.4, 0.3, 0.3)",0.052409679105476,0.4,0.3,0.3
pretrained,"(0.5, 0.3, 0.2)",0.0530910894389454,0.5,0.3,0.2
pretrained,"(0.6, 0.3, 0.1)",0.05262432726008912,0.6,0.3,0.1
pretrained,"(0.7, 0.3, 0.0)",0.051883941480027444,0.7,0.3,0.0
pretrained,"(0.0, 0.4, 0.6)",0.04382403495052723,0.0,0.4,0.6
pretrained,"(0.1, 0.4, 0.5)",0.04903415388693943,0.1,0.4,0.5
pretrained,"(0.2, 0.4, 0.4)",0.05225056275526557,0.2,0.4,0.4
pretrained,"(0.3, 0.4, 0.3)",0.05343515458268431,0.3,0.4,0.3
pretrained,"(0.4, 0.4, 0.2)",0.053080903273588456,0.4,0.4,0.2
pretrained,"(0.5, 0.4, 0.1)",0.05223027029136584,0.5,0.4,0.1
pretrained,"(0.6, 0.4, 0.0)",0.05257476761808997,0.6,0.4,0.0
pretrained,"(0.0, 0.5, 0.5)",0.04698273039610928,0.0,0.5,0.5
pretrained,"(0.1, 0.5, 0.4)",0.05078175688998129,0.1,0.5,0.4
pretrained,"(0.2, 0.5, 0.3)",0.052956478100135033,0.2,0.5,0.3
pretrained,"(0.3, 0.5, 0.2)",0.05478732489748218,0.3,0.5,0.2
pretrained,"(0.4, 0.5, 0.1)",0.05347307515525036,0.4,0.5,0.1
pretrained,"(0.5, 0.5, 0.0)",0.05298100720218981,0.5,0.5,0.0
pretrained,"(0.0, 0.6, 0.4)",0.04913379843894235,0.0,0.6,0.4
pretrained,"(0.1, 0.6, 0.3)",0.05280324376217966,0.1,0.6,0.3
pretrained,"(0.2, 0.6, 0.2)",0.05319885438685883,0.2,0.6,0.2
pretrained,"(0.3, 0.6, 0.1)",0.054848052657123926,0.3,0.6,0.1
pretrained,"(0.4, 0.6, 0.0)",0.05360318099184925,0.4,0.6,0.0
pretrained,"(0.0, 0.7, 0.3)",0.050590365548116724,0.0,0.7,0.3
pretrained,"(0.1, 0.7, 0.2)",0.052546636430355606,0.1,0.7,0.2
pretrained,"(0.2, 0.7, 0.1)",0.05400374714969718,0.2,0.7,0.1
pretrained,"(0.3, 0.7, 0.0)",0.05517497893242858,0.3,0.7,0.0
pretrained,"(0.0, 0.8, 0.2)",0.051234538801638405,0.0,0.8,0.2
pretrained,"(0.1, 0.8, 0.1)",0.05287175864422831,0.1,0.8,0.1
pretrained,"(0.2, 0.8, 0.0)",0.05412741505385292,0.2,0.8,0.0
pretrained,"(0.0, 0.9, 0.1)",0.05012286193029343,0.0,0.9,0.1
pretrained,"(0.1, 0.9, 0.0)",0.053549910243703994,0.1,0.9,0.0
finetuned,"(1, 0, 0)",0.05106627128060904,1.0,0.0,0.0
finetuned,"(0, 1, 0)",0.05172594739367601,0.0,1.0,0.0
finetuned,"(0, 0, 1)",0.05346210669539131,0.0,0.0,1.0
finetuned,"(0.0, 0.1, 0.9)",0.05892331136486038,0.0,0.1,0.9
finetuned,"(0.1, 0.1, 0.8)",0.060731256770783205,0.1,0.1,0.8
finetuned,"(0.2, 0.1, 0.7)",0.05916204809861412,0.2,0.1,0.7
finetuned,"(0.3, 0.1, 0.6)",0.05830069522592451,0.3,0.1,0.6
finetuned,"(0.4, 0.1, 0.5)",0.05784380772948028,0.4,0.1,0.5
finetuned,"(0.5, 0.1, 0.4)",0.055800514806221446,0.5,0.1,0.4
finetuned,"(0.6, 0.1, 0.3)",0.05371812934246286,0.6,0.1,0.3
finetuned,"(0.7, 0.1, 0.2)",0.052935188362258266,0.7,0.1,0.2
finetuned,"(0.8, 0.1, 0.1)",0.052492459996522266,0.8,0.1,0.1
finetuned,"(0.9, 0.1, 0.0)",0.052157772214985486,0.9,0.1,0.0
finetuned,"(0.0, 0.2, 0.8)",0.057388964171932934,0.0,0.2,0.8
finetuned,"(0.1, 0.2, 0.7)",0.05906649133534935,0.1,0.2,0.7
finetuned,"(0.2, 0.2, 0.6)",0.05798993966894849,0.2,0.2,0.6
finetuned,"(0.3, 0.2, 0.5)",0.05809737116417444,0.3,0.2,0.5
finetuned,"(0.4, 0.2, 0.4)",0.057267165102312535,0.4,0.2,0.4
finetuned,"(0.5, 0.2, 0.3)",0.05564148681757513,0.5,0.2,0.3
